Model,DPO4034
Firmware Version,2.1

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.04
Sample Interval,4e-06
Record Length,100000
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Label,
TIME,CH2
-2.00000e-01,0.03
-1.99996e-01,0.05
-1.99992e-01,0.05
-1.99988e-01,0.03
-1.99984e-01,0.01
-1.99980e-01,0.07
-1.99976e-01,0.03
-1.99972e-01,0.05
-1.99968e-01,0.03
-1.99964e-01,0.03
-1.99960e-01,0.07
-1.99956e-01,0.09
-1.99952e-01,0.03
-1.99948e-01,0.09
-1.99944e-01,0.03
-1.99940e-01,0.09
-1.99936e-01,0.07
-1.99932e-01,0.09
-1.99928e-01,0.09
-1.99924e-01,0.03
-1.99920e-01,0.01
-1.99916e-01,0.03
-1.99912e-01,0.03
-1.99908e-01,0.03
-1.99904e-01,0.05
-1.99900e-01,0.05
-1.99896e-01,0.05
-1.99892e-01,0.05
-1.99888e-01,0.09
-1.99884e-01,0.07
-1.99880e-01,0.07
-1.99876e-01,0.05
-1.99872e-01,0.05
-1.99868e-01,0.09
-1.99864e-01,0.07
-1.99860e-01,0.05
-1.99856e-01,0.03
-1.99852e-01,0.05
-1.99848e-01,0.01
-1.99844e-01,0.05
-1.99840e-01,0.07
-1.99836e-01,0.05
-1.99832e-01,0.03
-1.99828e-01,0.07
-1.99824e-01,0.03
-1.99820e-01,0.05
-1.99816e-01,0.07
-1.99812e-01,0.09
-1.99808e-01,0.03
-1.99804e-01,0.07
-1.99800e-01,0.03
-1.99796e-01,0.09
-1.99792e-01,0.05
-1.99788e-01,0.03
-1.99784e-01,0.05
-1.99780e-01,0.03
-1.99776e-01,0.05
-1.99772e-01,0.01
-1.99768e-01,0.05
-1.99764e-01,0.07
-1.99760e-01,0.07
-1.99756e-01,0.03
-1.99752e-01,0.07
-1.99748e-01,0.05
-1.99744e-01,0.03
-1.99740e-01,0.09
-1.99736e-01,0.07
-1.99732e-01,0.07
-1.99728e-01,0.03
-1.99724e-01,0.07
-1.99720e-01,0.05
-1.99716e-01,0.07
-1.99712e-01,0.07
